u,g,r,i,z,redshift
22.63181,21.78509,21.62018,22.4286,21.33443,1.204683
22.84459,22.25868,20.70906,19.69149,19.16006,0.5810893
20.45764,19.71776,19.19492,19.11644,18.98027,0.000589974
21.08845,20.67907,20.35942,19.90499,19.36785,0.4280173
25.24011,22.47344,20.69458,19.66313,19.37344,0.5396619
21.80478,19.42457,18.04387,17.51315,17.20199,0.2389861
22.74407,23.73786,22.49748,22.34738,21.79384,1.409856
24.29175,22.24503,20.62108,19.65731,19.06638,0.5823166
22.24144,21.42384,21.09327,21.0814,20.78747,1.191287
15.70966,13.87944,13.01929,12.5985,12.27938,0.02942103
21.13853,19.90134,19.27378,19.05746,18.99904,-0.0008264504
20.98429,20.92816,20.96523,20.78779,20.84057,1.802739
21.66308,19.52658,18.61182,18.25242,18.04379,-4.285656e-05
22.73139,22.10019,22.05675,21.57894,21.44348,1.699566
22.56338,23.64393,21.33041,20.04186,19.52743,0.6418502
22.77302,21.32762,20.25121,19.39697,18.94359,0.0001164988
23.93375,23.69632,21.66718,20.65255,19.83808,0.6479694
23.0249,20.00381,19.1697,18.96274,18.86308,5.832069e-05
18.96413,17.25868,16.48829,16.11254,15.85526,0.03379936
19.58874,18.10059,17.11715,16.60596,16.23343,0.1348147
24.67804,22.63094,20.9397,20.51927,19.80624,0.4029252
17.82411,16.96211,16.67936,16.61225,16.55402,-0.0003805373
17.30166,16.37973,16.07863,15.97017,15.94601,0.00036706
20.86625,20.68092,20.46768,20.44318,20.32031,0.9512755
23.12722,21.63107,19.75838,18.62985,18.16257,0.5431913
20.84601,20.76902,20.706,20.72956,20.4793,2.094881
20.19784,19.95937,19.08969,18.64386,18.25653,0.4018716
19.6476,19.42205,19.17454,19.00264,19.06131,1.437669
19.15939,18.06035,17.91239,17.8702,17.86103,-0.0004769262
23.23559,21.48174,19.90078,19.40698,19.09776,0.3062292
20.58219,19.97127,19.72242,19.48246,19.35659,0.6105334
21.84572,20.82487,19.43069,18.84672,18.38627,0.3646146
17.59007,16.36635,15.93277,15.75565,15.6839,-0.0001593022
23.75511,21.22945,19.81855,19.57451,19.34142,3.814102
21.03167,18.62643,17.37344,16.83757,16.49927,-0.000336852
18.87353,17.92834,17.6319,17.51104,17.44155,-0.000705364
21.26289,19.68772,18.2192,17.6591,17.21766,0.2593156
23.50572,22.36779,21.44379,21.08964,20.9316,-0.002038885
20.17066,19.6335,19.47743,19.10457,18.95818,2.460667
21.58885,20.92426,20.53806,20.25306,19.95163,0.7368175
21.61212,19.45919,17.92701,17.3634,17.00795,0.2613024
19.88685,18.76003,18.35353,18.10835,17.89194,0.0870124
21.99385,20.42133,19.18229,18.60714,18.48509,0.3608386
21.8657,20.96973,20.3955,19.85787,19.75743,1.698679
17.71239,16.70324,16.26671,16.03498,15.84813,0.01516928
23.24937,21.35287,19.78282,18.77581,18.14853,0.6098797
22.83241,21.36444,19.81701,19.04992,18.74081,0.4633514
23.08569,21.45871,21.09983,21.05593,21.01911,-0.0006375941
24.49969,24.12429,21.87696,20.83186,19.99366,0.5663157
19.50489,18.45968,18.39081,18.41163,18.46924,-0.0005520282
24.19219,22.86654,21.79216,21.74923,21.6549,1.335466
21.25336,19.21081,17.82668,17.28503,16.94697,0.2116729
23.4352,20.82088,19.48519,18.97894,18.69588,0.0001484288
22.8164,22.07062,20.50037,19.53892,19.08685,0.5382372
22.09267,21.30237,19.3163,18.43186,18.27139,0.3621481
20.19371,17.83076,16.72797,16.25995,15.98058,-1.963703e-05
21.52426,20.35285,20.1727,20.01936,19.92893,-0.0006174713
25.10741,20.54555,19.56575,19.27831,18.85062,-0.000145941
20.995,19.21465,18.43612,18.06963,17.88687,-9.576765e-05
18.92447,17.90111,17.49815,17.32983,17.26985,-0.0007692577
18.31609,17.11407,17.10877,17.1676,17.23836,0.0001340433
22.36045,22.0944,21.94363,21.56063,21.69045,2.018366
21.86586,21.4768,20.90682,20.74483,20.2449,1.276886
18.64693,17.4484,17.02661,16.86774,16.8011,0.0002381972
27.42786,21.13677,19.52763,18.7308,18.19789,0.3863066
20.06685,17.88331,16.81997,16.35258,16.02847,0.1311628
19.95918,18.36082,17.70831,17.48004,17.3602,-3.648993e-05
22.76312,21.01159,19.36291,18.61727,18.23895,0.4601
23.45139,22.50496,20.84183,19.66025,19.05259,0.6355556
19.39126,18.46445,18.07205,17.89463,17.84689,-0.0007951651
22.87526,21.57333,19.98119,19.09661,18.5352,-0.0003131943
21.3541,19.00593,17.58136,17.05569,16.65064,0.2122923
25.11066,23.08341,20.92072,19.65924,19.21969,0.6825817
23.06352,21.82348,20.31126,19.28927,18.85646,0.000228237
22.81997,20.28849,18.65048,18.02577,17.61732,0.3167196
20.89536,18.68757,17.55681,17.06545,16.68013,0.1628862
26.32801,22.40606,20.01243,18.73535,18.30059,0.6127821
19.71453,18.32093,17.6278,17.28508,17.02263,0.09273926
24.47667,23.12224,21.12337,19.27774,18.27419,0.0001137924
19.28958,17.63622,16.894,16.5346,16.2817,0.02971494
19.36825,17.4521,16.51563,16.11515,15.79191,0.1271176
23.06433,22.7106,21.13617,20.17934,19.80803,0.5916934
